narrative,identifier,version,language,filepath,reporting_org_identifier,reporting_org_type,reporting_org_name,last_updated
"""KEXIM(EDCF)""","""KR-GOV-021""",2.02,en,data/organisation.xml/odakorea-org/iati_org_KOREA.xml,KR-GOV-021,10,KEXIM(EDCF),
"""KOICA""","""KR-GOV-051""",2.02,en,data/organisation.xml/odakorea-org/iati_org_KOREA.xml,KR-GOV-021,10,KEXIM(EDCF),
"""Ministry of Agriculture, Food and Rural Affairs""","""KR-GOV-090""",2.02,en,data/organisation.xml/odakorea-org/iati_org_KOREA.xml,KR-GOV-021,10,KEXIM(EDCF),
"""Ministry of Culture, Sports, and Tourism""","""KR-GOV-080""",2.02,en,data/organisation.xml/odakorea-org/iati_org_KOREA.xml,KR-GOV-021,10,KEXIM(EDCF),
"""Ministry of Education""","""KR-GOV-030""",2.02,en,data/organisation.xml/odakorea-org/iati_org_KOREA.xml,KR-GOV-021,10,KEXIM(EDCF),
"""Ministry of Employment and Labor""","""KR-GOV-130""",2.02,en,data/organisation.xml/odakorea-org/iati_org_KOREA.xml,KR-GOV-021,10,KEXIM(EDCF),
"""Ministry of Environment""","""KR-GOV-120""",2.02,en,data/organisation.xml/odakorea-org/iati_org_KOREA.xml,KR-GOV-021,10,KEXIM(EDCF),
"""Ministry of Foreign Affairs and Trade ""","""KR-GOV-050""",2.02,en,data/organisation.xml/odakorea-org/iati_org_KOREA.xml,KR-GOV-021,10,KEXIM(EDCF),
"""Ministry of Gender Equality and Family""","""KR-GOV-140""",2.02,en,data/organisation.xml/odakorea-org/iati_org_KOREA.xml,KR-GOV-021,10,KEXIM(EDCF),
"""Ministry of Health and Welfare""","""KR-GOV-110""",2.02,en,data/organisation.xml/odakorea-org/iati_org_KOREA.xml,KR-GOV-021,10,KEXIM(EDCF),
"""Ministry of Interior""","""KR-GOV-070""",2.02,en,data/organisation.xml/odakorea-org/iati_org_KOREA.xml,KR-GOV-021,10,KEXIM(EDCF),
"""Ministry of Justice""","""KR-GOV-060""",2.02,en,data/organisation.xml/odakorea-org/iati_org_KOREA.xml,KR-GOV-021,10,KEXIM(EDCF),
