en,fr,it,nl,ja,da,name,identifier,type,country,countrycode,is_org_file,is_publisher,last_updated
"Access to Nutrition Foundation, The",,,,,,"Access to Nutrition Foundation, The",NL-KVK-58279199,21,Netherlands,NL,true,true,2017-12-14T13:23:02+00:00
"Asia Foundation, The",,,,,,"Asia Foundation, The",US-EIN-941191246,21,United States,US,,true,
"Coca-Cola Export Corporation, The",,,,,,"Coca-Cola Export Corporation, The",XI-IATI-1001,70,United States,US,,true,
"Commonwealth Secretariat, The",,,,,,"Commonwealth Secretariat, The",XI-IATI-CWSEC,40,,,true,true,2018-01-22T12:10:53Z
"Discovery Learning Alliance, Inc.",,,,,,"Discovery Learning Alliance, Inc.",US-EIN-522043740,21,United States,US,,true,
"Foundation Center, The",,,,,,"Foundation Center, The",US-EIN-131837418,21,United States,US,,true,
"Freedom Fund, The",,,,,,"Freedom Fund, The",GB-COH-1158838,21,United Kingdom,GB,true,true,2016-03-24T01:39:55+00:00
"Friends of the Earth England, Wales and Northern Ireland",,,,,,"Friends of the Earth England, Wales and Northern Ireland",GB-CHC-281681,22,United Kingdom,GB,true,true,2015-01-29T03:01:39+00:00
"Global Alliance for Improved Nutrition, The",,,,,,"Global Alliance for Improved Nutrition, The",30001,21,Switzerland,CH,true,true,2014-12-11T23:02:02+00:00
"Global Fund to Fight AIDS, Tuberculosis and Malaria, The",,,,,,"Global Fund to Fight AIDS, Tuberculosis and Malaria, The",47045,40,Switzerland,CH,true,true,2017-01-26T09:26:58
"Hunger Project Netherlands, The",,,,,,"Hunger Project Netherlands, The",NL-KVK-41201198,21,Netherlands,NL,,true,
"IDH, the Sustainable Trade Initiative",,,,,,"IDH, the Sustainable Trade Initiative",NL-KVK-53521129,21,Netherlands,NL,true,true,2016-12-28T08:01:33+00:00
"International Children's Trust, The",,,,,,"International Children's Trust, The",GB-CHC-254781,21,United Kingdom,GB,true,true,2015-07-16T01:53:39+00:00
"International Rescue Committee, The",,,,,,"International Rescue Committee, The",US-EIN-13-5660870,21,United States,US,,true,
"Leprosy Mission England and Wales, The",,,,,,"Leprosy Mission England and Wales, The",GB-CHC-1050327,21,United Kingdom,GB,true,true,2013-10-16T02:02:47+00:00
"Lithuania, Ministry of Foreign Affairs",,,,,,"Lithuania, Ministry of Foreign Affairs",XM-DAC-84,10,Lithuania,LT,,true,
"Ministry of Education, Science, Research and Sport",,,,,,"Ministry of Education, Science, Research and Sport",XM-DAC-69-4,,,,true,false,2017-03-09T13:48:12
"Ministry of Foreign Affairs and Cooperation, Spain",,,,,,"Ministry of Foreign Affairs and Cooperation, Spain",ES-DIR3-E04585801-009-001091,,,,true,false,2015-11-26T00:00:00
"National Association of Municipalities of Benin (ANCB), The",Association Nationale des Communes du Bénin,,,,,Association Nationale des Communes du Bénin,BJ-IFU-6201408024805,22,Benin,BJ,true,true,2017-06-15T12:40:03Z
"Natural Resources Institute, University of Greenwich.",,,,,,"Natural Resources Institute, University of Greenwich.",GB-COH-00986729,80,United Kingdom,GB,true,true,2016-05-06T10:23:38+00:00
"OPEC Fund for International Development (OFID), The",,,,,,"OPEC Fund for International Development (OFID), The",XI-IATI-OFID,40,Austria,AT,,true,
"Open University, The",,,,,,"Open University, The",GB-CHC-000391,80,United Kingdom,GB,true,true,2015-01-21T01:27:08+00:00
"Queen Elizabeth Diamond Jubilee Trust, The",,,,,,"Queen Elizabeth Diamond Jubilee Trust, The",GB-CHC-1145640,60,United Kingdom,GB,true,true,2016-12-09T14:32:47+00:00
"Sabre Charitable Trust, The",,,,,,"Sabre Charitable Trust, The",GB-CHC-1105489,21,United Kingdom,GB,true,true,2015-04-22T00:28:45+00:00
"Salvation Army International Development UK, The",,,,,,"Salvation Army International Development UK, The",GB-CHC-214779,21,United Kingdom,GB,,true,
"UK - Department for Environment, Food and Rural Affairs",,,,,,"UK - Department for Environment, Food and Rural Affairs",GB-GOV-7,10,United Kingdom,GB,,true,
"United Nations Educational, Scientific and Cultural Organization (UNESCO)",,,,,,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",41304,40,France,FR,,true,
"William and Flora Hewlett Foundation, The",,,,,,"William and Flora Hewlett Foundation, The",US-EIN-941655673,60,United States,US,true,true,2017-12-31T00:15:00.8127018-08:00
"WO=MEN, Dutch Gender Platform",,,,,,"WO=MEN, Dutch Gender Platform",NL-KVK-27293385,22,Netherlands,NL,,true,
,Société Nationale des Eaux du Benin,,,,,Société Nationale des Eaux du Benin,BJ-IFU-32000700033415,15,,,true,true,2017-04-27T18:30:38Z
Aasaman Nepal,,,,,,Aasaman Nepal,NP-SWC-27693,22,Nepal,NP,,true,
Abaseen Foundation UK,,,,,,Abaseen Foundation UK,GB-CHC-1157009,21,United Kingdom,GB,true,true,2016-06-02T08:47:49+00:00
AbleChildAfrica,,,,,,AbleChildAfrica,GB-CHC-326859,21,United Kingdom,GB,true,true,2015-06-17T20:56:07+00:00
